Date,Open,High,Low,Close,Adj Close,Volume
"Jan 10, 2024",184.35,186.40,183.92,186.19,185.28,46792900
"Jan 9, 2024",183.92,185.15,182.73,185.14,184.24,42841800
"Jan 8, 2024",182.09,185.60,181.50,185.56,184.66,59144500
"Jan 5, 2024",181.99,182.76,180.17,181.18,180.30,62303300
"Jan 4, 2024",182.15,183.09,180.88,181.91,181.02,71983600
"Jan 3, 2024",184.22,185.88,183.43,184.25,183.35,58414500
"Jan 2, 2024",187.15,188.44,183.89,185.64,184.73,82488700
"Dec 29, 2023",193.90,194.40,191.73,192.53,191.59,42628800
"Dec 28, 2023",194.14,194.66,193.17,193.58,192.64,34049900
"Dec 27, 2023",192.49,193.50,191.09,193.15,192.21,48087700
"Dec 26, 2023",193.61,193.89,192.83,193.05,192.11,28919300
"Dec 22, 2023",195.18,195.41,192.97,193.60,192.66,37122800
"Dec 21, 2023",196.10,197.08,193.50,194.68,193.73,46482500
"Dec 20, 2023",196.90,197.68,194.83,194.83,193.88,52242800
"Dec 19, 2023",196.16,196.95,195.89,196.94,195.98,40714100
"Dec 18, 2023",196.09,196.63,194.39,195.89,194.94,55751900
"Dec 15, 2023",197.53,198.40,197.00,197.57,196.61,128256700
"Dec 14, 2023",198.02,199.62,196.16,198.11,197.14,66831600
"Dec 13, 2023",195.09,198.00,194.85,197.96,196.99,70404200
"Dec 12, 2023",193.08,194.72,191.72,194.71,193.76,52696900
"Dec 11, 2023",193.11,193.49,191.42,193.18,192.24,60943700
"Dec 8, 2023",194.20,195.99,193.67,195.71,194.76,53377300
"Dec 7, 2023",193.63,195.00,193.59,194.27,193.32,47477700
"Dec 6, 2023",194.45,194.76,192.11,192.32,191.38,41089700
"Dec 5, 2023",190.21,194.40,190.18,193.42,192.48,66628400
"Dec 4, 2023",189.98,190.05,187.45,189.43,188.51,43389500
"Dec 1, 2023",190.33,191.56,189.23,191.24,190.31,45679300
"Nov 30, 2023",189.84,190.32,188.19,189.95,189.02,48794400
"Nov 29, 2023",190.90,192.09,188.97,189.37,188.45,43014200
"Nov 28, 2023",189.78,191.08,189.40,190.40,189.47,38415400
"Nov 27, 2023",189.92,190.67,188.90,189.79,188.86,40552600
"Nov 24, 2023",190.87,190.90,189.25,189.97,189.04,24048300
"Nov 22, 2023",191.49,192.93,190.83,191.31,190.38,39617700
"Nov 21, 2023",191.41,191.52,189.74,190.64,189.71,38134500
"Nov 20, 2023",189.89,191.91,189.88,191.45,190.52,46505100
"Nov 17, 2023",190.25,190.38,188.57,189.69,188.77,50922700
"Nov 16, 2023",189.57,190.96,188.65,189.71,188.79,54412900
"Nov 15, 2023",187.85,189.50,187.78,188.01,187.09,53790500
"Nov 14, 2023",187.70,188.11,186.30,187.44,186.53,60108400
